path,package,loc,function_count,type_count,sha256,rust_module
mod/agi/static/ffmpegutil/ffmpegutil.go,ffmpegutil,98,4,0,f8db2cecd146a2241c182fd76ee00f93bf97f8783b2f5d70d3c8a9649c5c9867,src/ported/mod_agi_static_ffmpegutil_ffmpegutil_039.rs
mod/agi/static/static.go,static,131,8,1,35c91855adb201518b6e5f23de9ccc040713f5c70b6ce4c16b887711b64743c1,src/ported/mod_agi_static_static_040.rs
mod/apt/apt.go,apt,173,4,1,c132806f0bc7dad7b2efe08b833692a3704fe09c7c65a00551d077ddb0165f5b,src/ported/mod_apt_apt_041.rs
mod/auth/accesscontrol/accesscontrol.go,accesscontrol,1,0,0,d85c7287fb5a71d858e9e9e8bca93b9a1020aec920734fbcbaae76771f7f0d6e,src/ported/mod_auth_accesscontrol_accesscontrol_042.rs
mod/auth/accesscontrol/blacklist/blacklist.go,blacklist,109,5,1,7e0c669869435065f6281460d0b38e9230eb03cf57e7d48f51521a2f27e01c86,src/ported/mod_auth_accesscontrol_blacklist_blacklist_043.rs
mod/auth/accesscontrol/blacklist/blacklist_test.go,blacklist,80,4,0,239437e3877a587c56f4fc7d9ec93d9967705d68676d8d25815e7202487f0f05,src/ported/mod_auth_accesscontrol_blacklist_blacklist_test_044.rs
mod/auth/accesscontrol/blacklist/blacklistmanager_test.go,blacklist,168,5,0,b67aad0b26e4f1f00e355f16d18820605487e16f59213c0ec349c7cd81f21c7b,src/ported/mod_auth_accesscontrol_blacklist_blacklistmanager_test_045.rs
mod/auth/accesscontrol/blacklist/handler.go,blacklist,96,6,0,2a7bec330f760ba9ee9655cdd9cab9c8a61f2f01035f972b47cbc5f6d89d7b61,src/ported/mod_auth_accesscontrol_blacklist_handler_046.rs
mod/auth/accesscontrol/utils.go,accesscontrol,133,3,0,e40f9355409b40d464f6206e656babc34151b02db4f1001a7eb6594c370a46e9,src/ported/mod_auth_accesscontrol_utils_047.rs
mod/auth/accesscontrol/utils_test.go,accesscontrol,96,4,0,166693d122317890d426158f70ee1c18f3e4e8a8d7212c2307047547d92798a3,src/ported/mod_auth_accesscontrol_utils_test_048.rs
mod/auth/accesscontrol/whitelist/handler.go,whitelist,82,5,0,5367bbd4e0739e6cce8dccc011feff76985393f4385ad34bd31094f95228a086,src/ported/mod_auth_accesscontrol_whitelist_handler_049.rs
mod/auth/accesscontrol/whitelist/whitelist.go,whitelist,119,6,1,2179c05b733e317550fecdce84def41ef805878d9eee302356f2e8154259b3d1,src/ported/mod_auth_accesscontrol_whitelist_whitelist_050.rs
mod/auth/accesscontrol/whitelist/whitelist_test.go,whitelist,169,5,0,4d4258fe0850ef71068fac170ad20c6d22705d6b1db8c957b21db0149997290a,src/ported/mod_auth_accesscontrol_whitelist_whitelist_test_051.rs
mod/auth/accountSwitch.go,auth,546,25,3,35e483475237217571efdf78280c8f3ea3c91c5b383a8be61c28596f9c4a4f5b,src/ported/mod_auth_accountswitch_052.rs
mod/auth/auth.go,auth,642,27,2,bc6b9f9f7762c2030f2fc069f7570b52eb7ae356b3a7978b3929ea1b38e09686,src/ported/mod_auth_auth_053.rs
mod/auth/authlogger/authlogger.go,authlogger,171,7,2,bf6d0ff5e0406fe59196b373529b5edc190e4e4bc380e0b0b036e6ae66505ab0,src/ported/mod_auth_authlogger_authlogger_054.rs
mod/auth/authlogger/authlogger_test.go,authlogger,204,6,0,7431483ae99b2ac7e908a0987455cf6eda14906448bb524e56c7fa7e0e04bc6d,src/ported/mod_auth_authlogger_authlogger_test_055.rs
mod/auth/authlogger/handlers.go,authlogger,75,5,1,133167202c152b3515794e7c0aa98dbbaecb500bfc10504a6ec6488ddb4d9f80,src/ported/mod_auth_authlogger_handlers_056.rs
mod/auth/authlogger/handlers_test.go,authlogger,92,2,0,c69d71c92f3b303fa481190f0e9c82167dd67920a94e1f5cde83601798736eff,src/ported/mod_auth_authlogger_handlers_test_057.rs
mod/auth/autologin/autologin.go,autologin,77,4,1,7c3e6f115a56b80d70df882d8c3d855241a151d4b3c6613bc82d9cfa28b64461,src/ported/mod_auth_autologin_autologin_058.rs
mod/auth/autologin.go,auth,189,8,1,25a8fb24d7cc53f8190c69903294f75c1c28919acd6434a04ceba6a1a958c18f,src/ported/mod_auth_autologin_059.rs
mod/auth/batch.go,auth,151,3,0,eb87edd283fd2c58e6969bd51d3735e85b015961504edae1c359e847bc7ecd72,src/ported/mod_auth_batch_060.rs
mod/auth/explogin/explogin.go,explogin,167,7,2,82b2d8724881ce49670eb1476f090a86de6b394b56351e5fd6901e2bee629a30,src/ported/mod_auth_explogin_explogin_061.rs
mod/auth/explogin/explogin_test.go,explogin,142,8,0,a49a3f07f06517762c933c7df182f25b2067bc4fd07aa7ddaed8436b1e637717,src/ported/mod_auth_explogin_explogin_test_062.rs
mod/auth/internal.go,auth,63,6,0,e524d512d9577d9c01defb31874f11fafc24005d08ad57b3893ff73380dd77db,src/ported/mod_auth_internal_063.rs
mod/auth/ldap/common.go,ldap,21,2,0,2f5fb2694f22eeb00640ec64fa4a2c4264f9eb54f5da8edad9ef442c80e5513e,src/ported/mod_auth_ldap_common_064.rs
mod/auth/ldap/ldap.go,ldap,173,5,4,5b01207c3c1adc94c8d1015e51b4ec5f300f52e303a5e2ab8b67bc745e626852,src/ported/mod_auth_ldap_ldap_065.rs
mod/auth/ldap/ldapreader/reader.go,ldapreader,97,5,1,d241b82ffee38fea3c6f7c49188d425b051c92f76af835f7d3ad0514d4895bb0,src/ported/mod_auth_ldap_ldapreader_reader_066.rs
mod/auth/ldap/syncdb/syncdb.go,syncdb,79,6,2,fc0863638f071d271327376a2283b0528480fd426fac6fa075d0db078427016c,src/ported/mod_auth_ldap_syncdb_syncdb_067.rs
mod/auth/ldap/syncdb/syncdb_test.go,syncdb,95,5,0,4216718bdc40a3d5d378e31858adbdce7d29e4a098ddee35567ac3a434bd957b,src/ported/mod_auth_ldap_syncdb_syncdb_test_068.rs
mod/auth/ldap/web_admin.go,ldap,180,5,0,bc8fbf43679425fd54684e85d184b920dd9b3d561573f0aae0112a9993fef244,src/ported/mod_auth_ldap_web_admin_069.rs
mod/auth/ldap/web_login.go,ldap,226,5,0,610b7fa4c913ad14d08b6b26440b6fb6ccec6b4c244fcfc70b2ef31be7e35cfc,src/ported/mod_auth_ldap_web_login_070.rs
mod/auth/oauth2/github.go,oauth2,86,3,1,0f6ff90e8f2ca977ea492073b5507c9308c9bfcea77543350faba7c1a3607751,src/ported/mod_auth_oauth2_github_071.rs
mod/auth/oauth2/gitlab.go,oauth2,88,3,1,101f7887486c37496a9e0bd3ff101c738036375d6c7f2503fd574b10d1c72a85,src/ported/mod_auth_oauth2_gitlab_072.rs
mod/auth/oauth2/google.go,oauth2,43,3,1,95a69da2e3ffe98c1719d11529597e02ff407c6a4456b79b5ce27c61d3418668,src/ported/mod_auth_oauth2_google_073.rs
mod/auth/oauth2/microsoft.go,oauth2,48,3,1,30cdc4895cfda2246009ff2a37206071a7a998d03cda2e590cb27e5ca61a0b48,src/ported/mod_auth_oauth2_microsoft_074.rs
mod/auth/oauth2/oauth2.go,oauth2,342,9,2,4e72c43a82ad7958a5909caee329dccd087d7b0fc6f46123fc73b200da480e80,src/ported/mod_auth_oauth2_oauth2_075.rs
mod/auth/oauth2/serviceSelector.go,oauth2,53,3,0,3c5ab00d9a44b06d565e19456e4daa14e6b3d229587637116eab5fb791043251,src/ported/mod_auth_oauth2_serviceselector_076.rs
